severity,category,source_image,detail
error,invalid_image_or_label,train/images/20240214_142058_jpg.rf.VBUvunpI7WZbK5rpT7f3.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_142104_jpg.rf.J3RoFBj4VgZBqxXuhiLZ.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_142348_jpg.rf.UjY3RWhWOPc0v8MpFAjn.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_145611_jpg.rf.Ql1Lgq7WZMX9XL8lxVgr.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_145646_jpg.rf.eP9yBYvk0ot88VDL7L0G.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_145653_jpg.rf.ezwRvAFaMKn6v7aSeUaT.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_145918_jpg.rf.yHMUrDwUyG3DJgtfSpdV.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_145955_jpg.rf.3u7tBUMuUhqQAMiiXfAF.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_150021_jpg.rf.4U06M6kZWS7PTHWpgeqg.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_150027_jpg.rf.NXr4ELRkRIJV24x28Y2A.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_150031_jpg.rf.Kyta6ivt8CfZl1V2QQYz.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_150041_jpg.rf.ZUTqRkyjLwOKkxcxNVar.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_150043_jpg.rf.iksHDJAX3tq8yLgibEa4.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_150105_jpg.rf.Lb0xnyKlezJOUuLbSPcL.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_150110_jpg.rf.yulv43CHbAGSqZ2455tf.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_150202_jpg.rf.SnA5se7zpvT7U6ySuAkG.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_181856_jpg.rf.tCOPHFF8gJP74C08PlEM.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_181909_jpg.rf.tU0BBcESWtiIQBGuPXC3.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_181953_jpg.rf.NiEOzcNfAqFQBNGZDuBL.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_182053_jpg.rf.e5NfTjdBEqwdGpAVVkeu.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_182118_jpg.rf.32kJc4wqhBf7emCbeFtw.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_182139_jpg.rf.ez5SuegNrTLJAn47BWXO.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_182212_jpg.rf.hubvhv6hAOMG7So6juzN.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_182553_jpg.rf.QiPEgQu2Ng4Mur8IXR66.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_182556_jpg.rf.zl2qJwJOWP4qdBFp4SVE.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_182930_jpg.rf.9CFKjscxzUyW1Kqg95ea.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_183113_jpg.rf.zA4zxdIHScSAljzGcoEQ.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_183130_jpg.rf.S0dGDjhMfminNrwHe0na.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_183316_jpg.rf.e9X8UWdUBIBYeMvRbOGU.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_183349_jpg.rf.taA0Vh4S2WolFQaIHJ0n.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_183408_jpg.rf.hoXRZtlXfIRb8vc4fcsX.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_183639_jpg.rf.58GuYcOC8Dw6aK9GL4PM.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_183704_jpg.rf.UhurWpOKSYM3vlP7NgJS.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_184256_jpg.rf.ypGzwo3HGvygsKUIjOJd.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_190032_jpg.rf.3V5FD83PKhBLRLH3gojv.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_190147_jpg.rf.MUniU8mnP96jiNuMfadJ.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_190156_jpg.rf.NH6QhudwO8mkdzoRcCIY.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_190248_jpg.rf.u1nbsgDT964fHSAdK4U1.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_190452_jpg.rf.WAOGrxHF1mMLaZD4Mpr7.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_190510_jpg.rf.ysmlKiYV9C56d4n6Xfwj.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_190550_jpg.rf.v0ZfGm0Nq7Ae5iQzJ7XZ.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_190553_jpg.rf.D2ruDsu3NEs55IJjdQZ2.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_190601_jpg.rf.ciGeHys92BS9Q7ybmwvq.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_190706_jpg.rf.YziwOqAoJqzW9DaVLdXc.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_190808_jpg.rf.qzSkP1MgWYCBitwnZ4eY.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_190910_jpg.rf.HWcvrfH0X9QfaaA17Hb8.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_190943_jpg.rf.4FjKwpViTqNW6s7yDY7W.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_191527_jpg.rf.fi38kDUnruI8MXUNTK6Z.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_191809_jpg.rf.4ZldgjGDwxmXnG8gQDyv.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_191823_jpg.rf.NLMfSWs3HfHW92Vsfc4H.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_191836_jpg.rf.kTrSQQ31xO3vLmHE08Wn.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_191954_jpg.rf.URowp5p9tqOGMDGT0rlt.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_192021_jpg.rf.q7ovNM6lFrUjGQyqHqFA.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_192042_jpg.rf.5dak82L4HovOZSKT9Iuc.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_204947_jpg.rf.DPXPFQcAFjc8Zw2jGHzM.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_205049_jpg.rf.bi7Tz0zL2czxJpUi4sgj.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
